caseid,ClintonTherm,RConserv,ClintonConserv,PID,GOP
1843,30,6,1,2,1
1844,15,4,2,5,0
1846,85,4,5,1,0
1847,0,4,3,3,0
1849,40,5,2,2,1
1850,100,4,4,1,0
1852,0,5,1,3,0
1853,70,4,5,3,0
1854,30,5,2,2,1
1855,100,4,4,1,0
1857,30,5,3,2,1
1859,70,6,3,2,1
1863,0,6,1,3,0
1865,70,4,3,1,0
1866,20,5,3,2,1
1867,70,3,3,1,0
1870,60,5,5,1,0
1871,100,6,7,1,0
1872,60,5,4,1,0
1874,60,4,6,1,0
1876,15,6,3,2,1
1878,0,7,2,2,1
1879,85,7,6,3,0
1880,60,3,2,2,1
1882,40,5,2,2,1
1883,70,5,4,2,1
1885,0,6,1,2,1
1886,70,3,6,3,0
1887,60,4,1,1,0
1888,60,5,4,3,0
1890,40,6,3,2,1
1891,15,6,3,2,1
1895,30,4,5,2,1
1896,15,6,3,2,1
1898,60,5,3,1,0
1900,40,5,2,3,0
1901,50,4,4,1,0
1902,70,1,2,1,0
1903,70,6,5,1,0
1904,70,6,3,1,0
1905,85,5,5,1,0
1906,85,3,4,3,0
1907,40,6,4,5,0
1908,15,6,2,2,1
1909,85,3,2,1,0
1910,0,4,2,5,0
1911,85,4,3,3,0
1912,70,6,2,2,1
1913,0,4,1,3,0
1915,70,3,3,3,0
1917,85,2,2,1,0
1918,15,4,1,3,0
1919,60,3,2,1,0
1920,100,4,4,1,0
1921,85,3,6,1,0
1923,85,4,3,1,0
1924,60,2,3,1,0
1925,70,5,4,3,0
1926,60,5,2,2,1
1928,60,4,2,3,0
1929,60,4,2,1,0
1930,70,4,5,5,0
1931,85,3,2,1,0
1932,85,6,5,1,0
1933,60,4,2,1,0
1934,0,5,1,2,1
1935,70,3,3,5,0
1936,60,5,4,1,0
1937,40,6,2,2,1
1938,70,4,5,2,1
1939,60,6,3,2,1
1940,50,4,2,3,0
1941,30,6,2,2,1
1942,50,4,3,3,0
1944,85,2,2,1,0
1947,0,6,1,2,1
1948,15,6,3,1,0
1949,0,6,1,2,1
1950,0,7,1,2,1
1951,100,7,7,2,1
1952,85,6,5,2,1
1954,50,4,4,3,0
1955,85,5,6,1,0
1956,40,4,2,3,0
1957,90,2,2,1,0
1958,98,7,7,1,0
1959,85,4,3,1,0
1960,55,6,3,5,0
1962,85,4,6,1,0
1963,100,3,2,1,0
1964,70,3,4,1,0
1965,85,3,4,1,0
1966,0,4,3,2,1
1967,100,6,7,1,0
1969,50,4,2,3,0
1970,70,3,3,3,0
1971,15,5,2,2,1
1972,90,2,2,1,0
1973,85,2,2,1,0
1974,60,6,4,2,1
1975,80,4,3,3,0
1976,30,6,2,2,1
1977,0,5,2,2,1
1979,100,4,4,1,0
1980,0,4,1,2,1
1981,60,4,3,3,0
1983,60,3,4,1,0
1984,50,5,2,2,1
1986,70,3,4,1,0
1987,100,3,3,1,0
1988,85,2,3,1,0
1989,85,4,4,1,0
1991,85,3,2,1,0
1992,85,4,5,1,0
1993,0,6,2,2,1
1994,85,4,4,5,0
1995,85,4,4,1,0
1996,100,4,6,1,0
1997,100,6,5,1,0
1998,0,3,4,3,0
2000,85,6,7,2,1
2001,30,6,3,2,1
2002,70,4,2,5,0
2003,70,3,2,2,1
2004,85,4,3,1,0
2005,30,6,2,2,1
