caseid,ClintonTherm,RConserv,ClintonConserv,PID,GOP
1052,0,6,2,2,1
1053,50,4,2,2,1
1055,0,6,1,2,1
1056,0,7,1,2,1
1057,15,5,2,2,1
1058,70,4,4,1,0
1061,50,4,2,3,0
1062,85,4,2,3,0
1063,70,4,3,3,0
1064,5,6,1,2,1
1065,70,5,4,1,0
1066,60,5,4,4,0
1069,100,3,3,1,0
1072,70,5,3,1,0
1073,60,4,3,3,0
1075,85,4,5,3,0
1076,40,6,2,2,1
1077,100,2,3,1,0
1079,15,7,1,3,0
1080,85,4,2,3,0
1081,85,3,2,1,0
1082,70,5,5,1,0
1083,85,3,2,1,0
1084,70,4,4,3,0
1085,60,5,4,5,0
1086,100,2,3,1,0
1087,60,7,2,3,0
1088,30,5,1,2,1
1090,85,2,3,3,0
1092,0,6,1,2,1
1095,70,5,2,3,0
1096,60,5,3,2,1
1097,85,3,2,1,0
1099,10,4,3,3,0
1100,70,2,3,1,0
1101,85,6,4,2,1
1102,30,5,3,5,0
1107,85,6,3,1,0
1108,85,4,2,1,0
1109,85,5,2,3,0
1110,85,4,4,3,0
1111,0,6,2,2,1
1115,70,5,4,5,0
1116,60,5,7,3,0
1117,60,4,5,3,0
1118,0,5,2,2,1
1119,0,5,1,3,0
1120,70,4,5,1,0
1121,30,5,2,3,0
1122,40,4,3,2,1
1123,0,7,1,2,1
1124,85,2,2,1,0
1125,15,7,1,3,0
1126,60,5,3,2,1
1127,85,2,3,3,0
1129,100,4,4,1,0
1130,70,2,3,4,0
1131,85,4,4,1,0
1134,100,3,4,1,0
1135,50,3,3,1,0
1136,70,5,3,1,0
1139,85,2,3,1,0
1140,70,4,4,1,0
1141,70,4,3,1,0
1142,0,6,1,2,1
1143,60,3,3,3,0
1145,100,4,5,5,0
1146,60,3,3,3,0
1150,85,6,6,1,0
1151,85,4,3,1,0
1152,85,3,5,3,0
1153,79,4,4,1,0
1154,70,4,3,1,0
1156,60,3,3,3,0
1157,60,5,2,2,1
1158,70,2,2,1,0
1159,85,3,3,1,0
1160,60,3,2,3,0
1161,50,3,4,2,1
1163,0,5,1,2,1
1164,90,2,3,1,0
1167,30,6,2,2,1
1168,85,5,3,3,0
1169,30,6,1,2,1
1170,70,4,3,3,0
1172,85,5,6,1,0
1173,85,2,3,1,0
1174,40,5,2,2,1
1175,100,6,4,1,0
1176,40,5,2,2,1
1177,30,6,2,2,1
1178,0,4,2,3,0
1179,70,3,6,1,0
1180,15,6,2,2,1
1181,100,2,2,1,0
1182,85,4,4,3,0
1184,0,5,1,2,1
1185,60,6,2,3,0
1187,0,6,1,2,1
1189,30,6,2,2,1
1191,70,4,2,3,0
1192,85,1,2,1,0
1197,85,3,5,1,0
1198,30,6,2,2,1
1199,15,6,1,2,1
1200,85,6,4,1,0
1201,85,3,2,3,0
1202,60,5,4,2,1
1203,70,1,2,1,0
1204,60,6,2,2,1
1206,85,4,2,3,0
1208,50,4,4,2,1
1209,15,5,1,2,1
1210,30,6,3,2,1
1211,0,6,2,2,1
1212,60,3,2,3,0
1214,15,5,1,2,1
1215,55,6,2,2,1
1217,85,2,3,1,0
1218,15,6,2,2,1
1221,85,4,4,3,0
1222,70,3,3,1,0
1223,85,3,4,1,0
1228,85,5,6,1,0
1231,15,4,3,2,1
1232,60,5,4,1,0
1233,15,6,2,3,0
1234,0,6,1,2,1
1235,0,6,1,2,1
1237,85,3,2,1,0
1238,85,5,3,3,0
1239,85,4,4,1,0
1240,70,4,4,5,0
1241,60,5,3,3,0
1243,30,6,2,2,1
1245,60,5,2,3,0
1246,50,6,2,2,1
1247,85,3,2,1,0
1248,70,4,4,2,1
1249,85,3,2,1,0
1250,85,4,1,2,1
1252,85,5,4,1,0
1253,85,2,1,1,0
1256,90,4,5,5,0
1257,50,6,2,2,1
1259,85,4,4,1,0
1260,100,5,5,1,0
1261,60,4,3,1,0
1262,70,4,3,2,1
1263,60,5,5,1,0
1266,15,6,2,2,1
1267,0,6,2,2,1
1269,70,4,4,1,0
1272,85,4,3,1,0
1274,30,5,2,2,1
1275,70,4,4,1,0
1278,70,5,4,3,0
1279,100,7,1,1,0
1281,10,5,4,1,0
1282,85,2,2,1,0
1283,30,7,1,2,1
1284,85,4,2,3,0
1285,60,4,2,1,0
1286,0,4,3,2,1
1287,85,4,5,1,0
1288,50,5,4,2,1
1289,85,5,3,1,0
1291,85,4,3,3,0
1292,100,4,4,1,0
1293,60,4,2,3,0
1294,100,3,3,1,0
1295,60,4,2,1,0
1296,15,6,1,2,1
1297,100,4,1,3,0
1299,30,4,2,2,1
1300,60,5,2,3,0
1301,75,6,2,5,0
1303,60,4,2,3,0
1304,100,5,6,1,0
1305,85,4,3,1,0
1309,100,4,4,1,0
1310,85,4,3,1,0
1311,85,4,2,1,0
1312,15,6,2,2,1
1313,15,6,1,2,1
1314,70,4,3,5,0
1315,15,6,2,2,1
1316,85,5,3,3,0
1317,50,5,3,2,1
1318,40,5,2,5,0
1319,85,2,3,1,0
1322,100,4,6,1,0
1323,100,4,3,1,0
1324,50,6,1,2,1
1325,15,6,1,3,0
1326,100,4,2,1,0
1327,40,3,2,2,1
