caseid,presvote,partyid,age,fincome,female,white,BushFT,ClintonFT,PerotFT,candid,vote,FT,clintondummy,perotdummy,PIDxClinton,PIDxPerot,partisan,bushdummy,PIDxBush,votehat,altvotehat
5404,2,1,56,11,0,1,70,70,50,2,1,70,1,0,1,0,major,0,0,.84682626,.99862784
5404,2,1,56,11,0,1,70,70,50,3,0,50,0,1,0,1,minor,0,0,.057530001,.98017526
5405,2,3,74,15,1,1,50,85,30,1,0,50,0,0,0,0,major,1,3,.041503876,.95888412
5405,2,3,74,15,1,1,50,85,30,2,1,85,1,0,3,0,major,0,0,.9414959,.99811333
5405,2,3,74,15,1,1,50,85,30,3,0,30,0,1,0,3,minor,0,0,.017000249,.9052369
5407,2,3,63,15,1,1,50,50,0,1,0,50,0,0,0,0,major,1,3,.28058532,.95888412
5407,2,3,63,15,1,1,50,50,0,2,1,50,1,0,3,0,major,0,0,.70204556,.98315138
5407,2,3,63,15,1,1,50,50,0,3,0,0,0,1,0,3,minor,0,0,.017369118,.59078008
5408,2,1,66,3,1,1,0,100,15,1,0,0,0,0,0,0,major,1,1,.00020738062,.5
5408,2,1,66,3,1,1,0,100,15,2,1,100,1,0,1,0,major,0,0,.9986617,.9997924
5408,2,1,66,3,1,1,0,100,15,3,0,15,0,1,0,1,minor,0,0,.0011309289,.84504282
5412,3,6,57,16,1,1,60,85,15,1,0,60,0,0,0,0,major,1,6,.34930167,.97767019
5412,3,6,57,16,1,1,60,85,15,2,0,85,1,0,6,0,major,0,0,.63404953,.98757374
5412,3,6,57,16,1,1,60,85,15,3,1,15,0,1,0,6,minor,0,0,.016648779,.67604417
5413,2,1,84,12,0,1,0,100,0,1,0,0,0,0,0,0,major,1,1,.00020752408,.5
5413,2,1,84,12,0,1,0,100,0,2,1,100,1,0,1,0,major,0,0,.99935251,.9997924
5413,2,1,84,12,0,1,0,100,0,3,0,0,0,1,0,1,minor,0,0,.0004399555,.67948937
5414,1,7,61,15,0,1,75,30,60,1,1,75,0,0,0,0,major,1,7,.78616667,.99119914
5414,1,7,61,15,0,1,75,30,60,2,0,30,1,0,7,0,major,0,0,.0092291087,.56936389
5414,1,7,61,15,0,1,75,30,60,3,0,60,0,1,0,7,minor,0,0,.20460421,.96700895
5415,3,7,28,19,0,1,60,15,60,1,0,60,0,0,0,0,major,1,7,.59481227,.97767019
5415,3,7,28,19,0,1,60,15,60,2,0,15,1,0,7,0,major,0,0,.0069827265,.33949259
5415,3,7,28,19,0,1,60,15,60,3,1,60,0,1,0,7,minor,0,0,.39820501,.96700895
5416,1,6,31,24,0,1,60,60,70,1,1,60,0,0,0,0,major,1,6,.34495559,.97767019
5416,1,6,31,24,0,1,60,60,70,2,0,60,1,0,6,0,major,0,0,.12966047,.94271654
5416,1,6,31,24,0,1,60,60,70,3,0,70,0,1,0,6,minor,0,0,.52538395,.98522544
5418,1,4,27,10,0,1,70,70,70,1,1,70,0,0,0,0,major,1,4,.28397587,.98798043
