country,ccode,year,exptorev,lnpop,lngnp,lnimports,lnexports,democracy
BELGIUM,80,1962,1.1041404,9.1292391,7.2923369,-0.78329074,-0.83655578,10
BELGIUM,80,1963,1.1380354,9.136694,7.3118863,-0.66786939,-0.7256704,10
BELGIUM,80,1964,1.1119027,9.146122,7.3920317,-0.52256089,-0.57963991,10
BELGIUM,80,1965,1.141121,9.1552505,7.4922032,-0.43047526,-0.44722503,10
BELGIUM,80,1966,1.1722748,9.1619902,7.5595593,-0.33100715,-0.38096765,10
BELGIUM,80,1967,1.0415651,9.1675377,7.635304,-0.33184299,-0.35211396,10
BELGIUM,80,1968,1.0514567,9.1714954,7.7057128,-0.18236156,-0.20285086,10
BELGIUM,80,1969,1.1447462,9.1731577,7.7714887,-0.001100609,0.006478972,10
BELGIUM,80,1970,1.1696433,9.1748171,7.9979992,0.12768932,0.14919557,10
BELGIUM,80,1971,1.3040988,9.1765766,8.182559,0.2512255,0.21446601,10
BELGIUM,80,1972,1.2014098,9.1783333,8.3383055,0.437545,0.47939688,10
BELGIUM,80,1973,1.0323998,9.1801901,8.4732409,0.78504252,0.80897272,10
BELGIUM,80,1974,1.0172988,9.181941,8.6450586,1.0944369,1.0412656,10
BELGIUM,80,1975,1.1868056,9.1837912,8.79179,1.1242476,1.0578597,10
BELGIUM,80,1976,1.2000601,9.1855354,8.8565187,1.2525344,1.187264,10
BELGIUM,80,1977,1.2212821,9.1873789,9.0215979,1.3964428,1.3227953,10
BELGIUM,80,1978,1.2054625,9.1891165,9.1127272,1.5836687,1.5052322,10
BELGIUM,80,1979,1.2218497,9.1909533,9.2709646,1.7984371,1.7272921,10
BELGIUM,80,1980,1.297017,9.1927872,9.4075508,1.9700172,1.8642507,10
BELGIUM,80,1981,1.4487715,9.1951256,9.385973,1.8320053,1.7172334,10
BELGIUM,80,1982,1.2262365,9.1964445,9.2572241,1.7577544,1.6559589,10
BELGIUM,80,1983,1.2636201,9.1977615,9.1226015,1.5576813,1.5186813,10
BELGIUM,80,1984,1.2223701,9.1989765,9.0629997,1.5566909,1.5306761,10
BELGIUM,80,1985,1.1920919,9.2002897,9.0419216,1.5646079,1.5546861,10
BELGIUM,80,1986,1.1980182,9.201602,9.160099,1.7816923,1.7910092,10
BELGIUM,80,1987,1.1504381,9.2029133,9.3474903,2.0316684,2.0293055,10
BELGIUM,80,1988,1.1377105,9.2042217,9.5853462,2.1314764,2.1458845,10
BELGIUM,80,1989,1.1419729,9.2056293,9.6683979,2.1955009,2.2205396,10
BELGIUM,80,1990,1.1191864,9.2069349,9.6447172,2.3843217,2.3996029,10
BELGIUM,80,1991,1.1371884,9.2082386,9.8527203,2.360769,2.3794534,10
BELGIUM,80,1992,1.1549786,9.2097406,9.9074793,2.4260497,2.4582291,10
BELGIUM,80,1993,1.1326567,9.2187052,9.9622278,2.3077915,2.363699,10
BELGIUM,80,1994,1.1107627,9.2218733,10.016994,2.4505653,2.508615,10
BULGARIA,130,1966,0.99621785,9.0189381,6.6200733,-1.9118953,-2.036382,-7
BULGARIA,130,1967,0.99632174,9.0252151,6.7821922,-1.8502364,-1.9255195,-7
BULGARIA,130,1968,1.0135748,9.0324087,6.8532991,-1.7248487,-1.8232501,-7
BULGARIA,130,1969,0.99782199,9.0402632,7.0228682,-1.7435409,-1.7142431,-7
BULGARIA,130,1970,0.99808967,9.0466442,7.1685801,-1.6977228,-1.60744,-7
BULGARIA,130,1971,0.99835479,9.052516,7.2957349,-1.551169,-1.5223432,-7
BULGARIA,130,1972,0.99035382,9.057189,7.4085307,-1.3598472,-1.3367426,-7
BULGARIA,130,1973,0.98758107,9.0618401,7.5098829,-1.1190192,-1.1083597,-7
BULGARIA,130,1974,0.98617285,9.0686617,7.6221747,-0.83794177,-0.95815492,-7
BULGARIA,130,1975,0.98532271,9.0742912,7.7231202,-0.6147058,-0.75693929,-7
BULGARIA,130,1976,0.98475248,9.0766945,7.8079166,-0.58608806,-0.6311118,-7
BULGARIA,130,1977,0.98429871,9.0792065,7.9480319,-0.47835848,-0.46394208,-7
BULGARIA,130,1978,0.99756664,9.0815973,8.0709057,-0.4162733,-0.3389754,-7
BULGARIA,130,1979,0.9981606,9.0839834,8.2093086,-0.1672359,-0.12783338,-7
BULGARIA,130,1980,0.9984833,9.0864763,8.330864,-0.038740814,0.04210116,-7
BULGARIA,130,1981,0.99900556,9.08885,8.4398804,0.076961078,0.066255838,-7
BULGARIA,130,1982,1.0032758,9.0913315,8.5486917,0.088446692,0.083021358,-7
BULGARIA,130,1983,1.0076208,9.0938063,8.5385628,0.099933162,0.099786557,-7
BULGARIA,130,1984,1.0118619,9.0961637,8.5283308,0.11141888,0.11655119,-7
BULGARIA,130,1985,1.0162282,9.0992975,8.5181923,0.12290501,0.13331686,-7
BULGARIA,130,1986,1.0205352,9.091444,8.508152,0.13439098,0.15008156,-7
BULGARIA,130,1987,1.0249639,9.083643,8.4980106,0.14587708,0.16684744,-7
BULGARIA,130,1988,1.0293208,9.0757799,8.4879704,0.1573627,0.18361239,-7
BULGARIA,130,1989,1.0197644,9.0679703,7.8935719,0.076283015,0.14258145,-7
BULGARIA,130,1990,1.0576855,9.060215,7.700748,-0.20824881,-0.18481262,8
BULGARIA,130,1991,1.0971307,9.0523996,7.5175209,-0.49146587,-0.42976496,8
BULGARIA,130,1992,1.1380786,9.0445223,7.2868762,-0.77468264,-0.67471808,8
BULGARIA,130,1993,1.3616787,9.0438137,7.0561752,-0.83692521,-1.0118934,8
BULGARIA,130,1994,1.1164103,9.0410929,6.82546,-0.91439253,-0.87726235,8
CYPRUS,290,1960,0.96343553,6.3508859,6.1944056,-4.5189924,-5.2213564,8
CYPRUS,290,1961,0.9216916,6.3578424,6.2690964,-4.4829526,-5.2983174,8
CYPRUS,290,1968,0.83124048,6.43294,6.5567784,-4.0570488,-4.721704,7
CYPRUS,290,1969,0.78037649,6.4457197,6.753438,-3.8632329,-4.6253729,7
CYPRUS,290,1970,0.79140598,6.4504704,6.9186954,-3.7507548,-4.5282092,7
CYPRUS,290,1971,0.78789204,6.4488893,7.0604763,-3.6535122,-4.4654083,7
CYPRUS,290,1972,0.83234948,6.4488893,7.184629,-3.4577677,-4.3125005,7
CYPRUS,290,1973,0.92684609,6.4473057,7.2950563,-3.1033175,-4.0570488,7
CYPRUS,290,1974,1.1020181,6.4536252,7.1793079,-3.2039871,-4.18646,10
CYPRUS,290,1975,0.9947477,6.4599047,7.130899,-3.5025659,-4.2524028,10
CYPRUS,290,1976,0.90604764,6.4393506,7.3264656,-3.224391,-3.6880798,10
CYPRUS,290,1977,1.0887183,6.418365,7.5120711,-2.8845487,-3.4923263,10
CYPRUS,290,1978,1.2136847,6.4232469,7.6544433,-2.6826749,-3.4216042,10
CYPRUS,290,1979,1.3556324,6.4313312,7.9497972,-2.4010804,-3.1665206,10
CYPRUS,290,1980,1.3740227,6.4441314,8.177516,-2.2263651,-3.0175688,10
CYPRUS,290,1981,1.3782275,6.4551988,8.2230902,-2.2608676,-2.9806466,10
CYPRUS,290,1982,0.93977088,6.4661446,8.2687321,-2.2161322,-2.9973335,10
DENMARK,320,1950,1.147537,8.3596029,6.8001699,-2.4615808,-2.7105534,10
DENMARK,320,1951,1.1645887,8.3673,6.8276291,-2.2906566,-2.4781296,10
DENMARK,320,1952,1.1850654,8.3742466,6.8543544,-2.341326,-2.4651041,10
DENMARK,320,1953,1.2084614,8.3822899,6.8814111,-2.3015857,-2.4135165,10
DENMARK,320,1954,1.2050407,8.3907223,6.906755,-2.1455812,-2.3392491,10
DENMARK,320,1955,1.2302923,8.3981848,6.9314718,-2.138767,-2.2471504,10
DENMARK,320,1956,1.0897439,8.4042482,6.9565454,-2.0317948,-2.1973245,10
DENMARK,320,1957,0.90028256,8.4091625,6.9800758,-1.996572,-2.1421683,10
DENMARK,320,1958,0.89604211,8.4151602,7.003974,-1.9906983,-2.0494945,10
DENMARK,320,1959,0.88880092,8.4222231,7.0698743,-1.8313322,-1.9653988,10
DENMARK,320,1960,0.92927957,8.4296722,6.9421568,-1.7120245,-1.9011281,10
DENMARK,320,1961,0.89566064,8.4359827,7.1869011,-1.6750437,-1.8721023,10
DENMARK,320,1962,1.0100653,8.4439774,7.3317151,-1.5464631,-1.7903605,10
DENMARK,320,1963,0.94514012,8.4519081,7.4318919,-1.5469327,-1.6565295,10
DENMARK,320,1964,0.9079262,8.4595642,7.5559049,-1.3405565,-1.5506974,10
DENMARK,320,1965,0.88921833,8.4675827,7.6662221,-1.2647849,-1.461018,10
DENMARK,320,1966,0.90800142,8.4757462,7.7480288,-1.2033064,-1.4052733,10
DENMARK,320,1967,0.90210962,8.4844637,7.8240461,-1.1564534,-1.3735756,10
DENMARK,320,1968,0.95862913,8.4908495,7.8935719,-1.127938,-1.3318062,10
DENMARK,320,1969,0.95194852,8.4990292,7.9585767,-0.96416879,-1.1973283,10
DENMARK,320,1970,0.99819124,8.5047159,8.1752663,-0.81939089,-1.0918354,10
DENMARK,320,1971,0.9713707,8.5103703,8.3532619,-0.77305657,-0.99750078,10
DENMARK,320,1972,0.94881839,8.5151911,8.49331,-0.67393297,-0.79606622,10
DENMARK,320,1973,0.89766318,8.5231752,8.6161327,-0.24820498,-0.47016367,10
DENMARK,320,1974,1.006392,8.5261526,8.7379341,-0.007326795,-0.25902987,10
DENMARK,320,1975,1.09492,8.528924,8.8464966,0.036139071,-0.13788368,10
DENMARK,320,1976,1.1834028,8.5316877,8.9476757,0.21728642,-0.092663713,10
DENMARK,320,1977,1.1562996,8.5346403,9.1226015,0.28254393,0.006478972,10
